
1 4 0.000036
2 4 0.000037
3 4 0.000037
4 4 0.000037
5 4 0.000074
6 4 0.000055
7 4 0.000055
8 4 0.000055
9 4 0.000073
10 4 0.000074
11 4 0.000092
12 4 0.000074
13 4 0.000166
14 4 0.000074
15 4 0.000166
16 4 0.000093
1 25 0.000202
2 25 0.000111
3 25 0.000092
4 25 0.000092
5 25 0.000074
6 25 0.000055
7 25 0.000074
8 25 0.000055
9 25 0.000074
10 25 0.000074
11 25 0.000073
12 25 0.000111
13 25 0.000074
14 25 0.000166
15 25 0.000073
16 25 0.000166
1 168 0.001935
2 168 0.000977
3 168 0.000701
4 168 0.000516
5 168 0.000424
6 168 0.000387
7 168 0.000313
8 168 0.000350
9 168 0.000277
10 168 0.000258
11 168 0.000240
12 168 0.000222
13 168 0.000258
14 168 0.000203
15 168 0.000277
16 168 0.000202
1 1229 0.022855
2 1229 0.011390
3 1229 0.008589
4 1229 0.005714
5 1229 0.004811
6 1229 0.004258
7 1229 0.003410
8 1229 0.002893
9 1229 0.002894
10 1229 0.002452
11 1229 0.002174
12 1229 0.002156
13 1229 0.001843
14 1229 0.001769
15 1229 0.002045
16 1229 0.001511
1 9592 0.323011
2 9592 0.160833
3 9592 0.131269
4 9592 0.080343
5 9592 0.071275
6 9592 0.065597
7 9592 0.049175
8 9592 0.040236
9 9592 0.043756
10 9592 0.035720
11 9592 0.030467
12 9592 0.032900
13 9592 0.025620
14 9592 0.024643
15 9592 0.029840
16 9592 0.020330
1 78498 5.797149
2 78498 2.888410
3 78498 2.588807
4 78498 1.441726
5 78498 1.349514
6 78498 1.292855
7 78498 0.915655
8 78498 0.720467
9 78498 0.862131
10 78498 0.675421
11 78498 0.558859
12 78498 0.646170
13 78498 0.468398
14 78498 0.458353
15 78498 0.615961
16 78498 0.360316
